,Name,IP SLA Reports,Logical Grouping,Trending,Trend Prediction,Auto Discovery,Agentless,SNMP,Syslog,Plugins,Triggers / Alerts,MIB Compiler,WebApp,Distributed Monitoring,Inventory,Platform,Data Storage Method,License,Maps,Access Control,IPv6,Latest release date,Latest release version
27,Shinken,Via plugin,Yes,Yes,No,Yes,Yes,Via plugin,Via plugin,Yes,Yes,No,"Viewing, Acknowledging, Reporting",Yes,Via plugin,Python,"Flat file, MySQL, Oracle, Graphite, Sqlite, MongoDB",AGPL,Yes,Yes,Yes,2016-03-10,2.4.3
28,SolarWinds,Yes,Yes,Yes,Yes,Yes,Partial,Yes,Yes,Yes,Yes,No,Full Control,Yes,Yes,.NET,SQL,Commercial,Yes,Yes,Yes,Un­known,Un­known
29,Spiceworks,Un­known,Yes,Un­known,Un­known,Yes,Yes,Un­known,Un­known,Yes,Yes,Un­known,Un­known,Un­known,Yes,PHP,Sqlite,Un­known,Yes,Un­known,Un­known,2018-03-21,7.5.00107
30,CA Spectrum,Yes,Yes,Perf. AddOn,Perf. AddOn,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"C++, Java, JavaScript","Sleepycat-QSL, MySQL, InfluxDB","Commercial, per Device",Yes,Yes,Yes,2020-06-29,20.2
31,Xymon/Hobbit,Yes,Yes,Yes,No,Via plugin,Via plugin,Via plugin,No,Yes,Yes,No,"Viewing, Acknowledging, Reporting",Yes,Via plugin,"C, Shell","Flat file, RRDTool, MySQL via plugin",GNU GPL,Via plugin,Apache ACL,No,2019-09-05,4.3.30
32,Vigilo NMS,Yes (NMS and NOC editions),Yes,Yes,Yes via integration,Yes via integration,Yes,Yes,Yes via Prelude SIEM,Yes,Yes,No,"Viewing, Acknowledging, Reporting",Yes (NMS and NOC editions),Yes via GLPI,"Python, Perl","PostgreSQL, RRDtool","Free (GPLv2) OSS edition, Commercial NOC/NMS editions",Yes (NMS and NOC editions),Yes (NMS and NOC editions),Via plugin,2017-09-14,4.1.0
33,Zabbix,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Full Control,Yes,Yes,"C, PHP","Oracle, MySQL, PostgreSQL, IBM DB2, SQLite",GNU GPL,Yes,Yes,Yes,2021-05-14,5.4.0[7]
34,Zenoss Core,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Full Control,Yes,Yes,"Python, Java","ZODB, MariaDB, Apache HBase","Free Core GPL, Commercial Enterprise",Yes,Yes,Yes,2018-01-09,6.1.0
35,ZIS-System,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Full Control,Yes,Yes,Windows,MariaDB,Commercial,Yes,Yes,Yes,2020-02-01,5.8
36,Name,IP SLA Reports,Logical Grouping,Trending,Trend Prediction,Auto Discovery,Agentless,SNMP,Syslog,Plugins,Triggers / Alerts,MIB Compiler,WebApp,Distributed Monitoring,Inventory,Platform,Data Storage Method,License,Maps,Access Control,IPv6,Latest release date,Latest release version
