,Name,Developer,Availability,Client Interface,License,Description/Notes
24,MySQL NDB Cluster,MySQL,1997.0,,Dual_license open source(GNU-GPLv2) and optional proprietary,Highly available distributed real-time in-memory NoSQL database. Often used with MySQL for SQL cross-shard parallel query processing.
25,OmniSci,OmniSci (formerly MapD),2013.0,,Open Source (Apache License 2.0),"GPU-accelerated, SQL database and visualization platform for real-time analytics. Product consists of the core database plus a BI visualization tool. Received $55mil Series C funding in Aug 2018.[10] v4.8 announced in August 2019 with support for JupyterLab.[11]"
26,Oracle RDBMS,Oracle Corporation,2014.0,,Proprietary,RDBMS Oracle 12c contains an option for in-memory technology (additional licenses required).
27,Oracle Coherence,Oracle Corporation,,,Proprietary with developer download,"For Java, relational, distributed"
28,Perst,McObject,2006.0,"Java, Android, .NET",[Dual_license] open source(GNU-GPLv3) and optional proprietary,"Object-oriented embedded database system for Java, Android and .NET platforms. No ORM. Schema evolution, XML export/import, replication, specialized indexes, including full text, b-tree, t-tree, r-tree, patricia trie, kd-tree and time series"
29,Polyhedra,ENEA AB (previously Perihelion Software),1993.0,,"Proprietary, with a free-to-use edition (Polyhedra Lite)","Relational (SQL, ODBC, JDBC) in-memory database system originally developed for use in SCADA and embedded systems, but used in a variety of other applications including financial systems. Supports data durability via snapshots and journal logging, and high availability via a hot-standby. First released in 1993; version 8.7 released in March 2013.[12] Polyhedra Lite appeared with a free-to-use license in 2012.[13]"
30,Raima,Raima Database Manager (RDM),1982.0,,Proprietary,"Raima Database Manager (RDM) is an In-memory database management system used by application developers. It is a linkable library of functions that becomes a part of the application program. It has multiple interfaces available to C, C++, C#, or Java programmers. RDM supports ODBC, JDBC, SQL and SQL PL in RDM 14.0. RDM 14.0 was released in 2016."
31,Redis,Redis Labs,2009.0,"C, C++, Python, Lua, C#, etc. [14]",Open Source (BSD),"Redis is an open-source software project that implements data structure servers. It is networked, in-memory, and stores keys with optional durability."
32,SafePeak,SafePeak Technologies,,,Proprietary,"Automated In-Memory Dynamic Caching for SQL Server OLTP applications and databases. Code-free, Dynamic Caching, Relational"
33,SAP HANA,SAP SE,2012.0,,Proprietary,"SAP HANA, short for 'High Performance Analytic Appliance' is an in-memory, column-oriented, relational database management system written in C, C++"
34,solidDB,Unicom Global,1992.0,,Proprietary,Relational with standard SQL support. ODBC and JDBC interfaces. Includes in-memory and on-disk tables in the same engine. Supports high availability.
35,SQL CE,Microsoft Corporation,,,Free,"Compact relational embedded database produced by Microsoft for applications that run on mobile devices and desktops. ADO.NET, OLE DB. No ODBC driver."
36,Tarantool,Mail.ru Group,2010.0,,Open Source (BSD),In-memory database and application server (data grid)
37,TerminusDB,TerminusDB (formerly DataChemist),2019.0,"JavaScript, Python, Prolog, Rust, JSON-LD",Open Source (Apache 2.0),Open source in-memory graph database designed for knowledge graph representation[15]
38,TimesTen,now Oracle Corporation,1997.0,"Java, JDBC, ODBC, SQL, PLSQL, C",Proprietary,Standalone database or in-memory cache for Oracle Database
39,TPF (Transaction Processing Facility),IBM,1979.0,,Marketed,Generalized extension of IBM Airlines reservation system. IBM's DB/DC system backed up the in-memory transaction processing computer.[16]
40,Starcounter,Starcounter AB,2014.0,,Proprietary,In-memory database engine combined with an application server that melds the Virtual Machine and the Database Management System.
41,VoltDB,VoltDB Inc.,,,Open Source (GPL) / Proprietary,Relational; implements H-Store design
42,Xeround,Xeround Inc.,,,"Proprietary / Not for sale, service only","Cloud database, defunct as of 2014"
